projectRcn;org_id
74419;1144
74419;1486
74419;1632
74419;3042
74419;3250
74419;4240
74419;4547
74419;4841
74419;5173
74419;5295
74419;5368
74419;5848
74419;5859
74419;6713
74419;6794
74419;6929
74419;7539
74419;7544
74419;7572
74419;7991
74419;8193
74419;9837
74419;14002
74419;14101
74419;14600
74419;14722
74419;14955
74419;15525
74419;15795
74419;16146
74419;17174
74419;17338
74419;17646
74419;18197
74419;19832
74419;20953
74419;21854
74419;22462
74419;22771
74419;23216
74419;25342
74419;25997
74419;26222
74419;27656
74419;28453
74419;28712
74419;29578
74419;29792
74419;29876
74419;31292
74419;31335
77150;440
77150;811
77150;2517
77150;3488
77150;3842
77150;4595
77150;6756
77150;7246
77150;8482
77150;11318
77150;21540
77150;22419
77150;22421
77150;23695
77150;24506
77150;24954
77150;27215
77150;30082
77150;30500
79797;3067
79797;5073
79797;5107
79797;5288
79797;5319
79797;5564
79797;5918
79797;7716
79797;8152
79797;8809
79797;9319
79797;10563
79797;11432
79797;15089
79797;15101
79797;15155
79797;15572
79797;16598
79797;17417
79797;18264
79797;19870
79797;20204
79797;22693
79797;22699
79797;24000
79797;27080
79797;28334
79797;28349
79797;28355
79797;29386
79797;29439
79797;29468
79797;29550
79797;29592
79797;29893
79797;30049
79797;30258
80803;283
80803;5541
80803;19279
80803;28184
80803;28206
80804;2528
80804;4277
80804;14892
80804;14903
80804;14969
80804;14994
80804;15260
80804;16529
80804;20025
80804;24233
80804;27432
80804;27460
80804;30026
80805;5540
80805;9973
80805;13887
80805;13888
80805;15260
80805;22426
80805;23688
80820;27012
81086;14953
81203;3162
81203;11024
81203;19151
81203;19274
81208;2859
81208;12069
81208;24506
81208;29930
81208;31800
81209;440
84497;30542
84750;2493
84750;3538
84750;19998
84750;20842
84750;21100
84750;25490
85231;4280
85231;6066
85231;6476
85231;7107
85231;27492
85232;11060
85232;11063
85232;15429
85232;19010
85232;26130
85232;29045
85232;29252
85233;5539
85233;13628
85233;16763
85233;27478
85233;29770
85234;1044
85234;2750
85234;7515
85234;10257
85234;25328
85234;25769
85234;27410
85234;27474
85234;28351
85234;30316
85235;6066
85235;13628
85235;15677
85235;16520
85235;20025
85235;26695
85235;29993
85236;456
85236;3942
85236;4332
85236;4418
85236;5351
85236;5539
85236;7047
85236;7325
85236;9770
85236;12522
85236;14159
85236;14698
85236;17821
85236;21373
85236;23889
85236;26286
85236;29627
85236;30019
85236;30459
85236;31076
85236;31079
85237;213
85237;9217
85237;10949
85237;16058
85237;18025
85237;22424
85237;25769
85237;30197
85238;6066
85238;13520
85238;16990
85238;17178
85238;18971
85239;5129
85239;6374
85239;9893
85239;11395
85239;28365
85239;29550
85239;31921
85240;27080
85240;28342
85240;29625
85240;29875
85241;13977
85241;14649
85241;18466
85241;20163
85241;20977
85241;29252
85242;5351
85242;11487
85242;13598
85242;13718
85242;23773
85242;25999
85242;26286
85242;31079
85243;1043
85243;5352
85243;11062
85243;15677
85243;18064
85243;21789
85243;23889
85243;26702
85243;27656
85243;28816
85243;29195
85243;29196
85243;29198
85243;30267
85244;1320
85244;5173
85244;5538
85244;6066
85244;6460
85244;8293
85244;8526
85244;10950
85244;12061
85244;14448
85244;14735
85244;14750
85244;14751
85244;15376
85244;15677
85244;16990
85244;20025
85244;22420
85244;22424
85244;23773
85244;26695
85244;27157
85244;27461
85244;28350
85244;28374
85244;29391
85244;29567
85244;29578
85244;29593
85244;29623
85244;29671
85244;29724
85244;29826
85244;29856
85244;29911
85244;29993
85244;30054
85245;3459
85245;4280
85245;4770
85245;5173
85245;5538
85245;6917
85245;10657
85245;11062
85245;13628
85245;18719
85245;23889
85245;27656
85245;27917
85245;27938
85245;29809
85246;1163
85246;5237
85246;7977
85246;16327
85246;16495
85246;29979
85247;377
85247;2825
85247;7047
85247;14148
85247;16991
85247;17654
85247;29200
85248;5173
85248;6066
85248;8238
85248;14704
85248;15677
85248;18224
85248;26702
85248;29565
85249;2796
85249;4798
85249;10739
85249;11062
85249;18351
85249;27474
85249;29538
85249;30426
85250;6658
85250;8736
85250;14142
85250;16520
85250;17165
85250;27449
85250;27468
85250;31108
85251;179
85251;4891
85251;19531
85251;29914
85251;30098
85251;31607
85252;1320
85252;2000
85252;15677
85252;16520
85252;26702
85252;29993
85253;753
85253;5173
85253;5538
85253;6066
85253;28027
85254;3214
85254;11062
85254;14130
85254;16036
85254;21685
85254;26060
85254;28116
85255;613
85255;5468
85255;6066
85255;8365
85255;10739
85255;27468
85255;29568
85255;29615
85255;29912
85255;30098
85263;8614
85263;16677
85263;18000
85263;20974
85263;22424
85263;22802
85263;24610
85263;24725
85263;27474
85264;4283
85264;5121
85264;23198
85264;28104
85264;28243
85264;30104
85265;838
85265;1172
85265;1179
85265;5215
85265;6066
85265;6179
85265;6368
85265;23665
85265;26650
85265;27472
85265;28928
85265;29548
85265;29724
85266;1172
85266;8706
85266;12969
85266;20769
85266;27502
85266;27696
85266;27922
85266;29459
85267;456
85267;2521
85267;4280
85267;6539
85267;6540
85267;6545
85267;7540
85267;8275
85267;8293
85267;8466
85267;10008
85267;10065
85267;12685
85267;14598
85267;14693
85267;14890
85267;16760
85267;25163
85267;29623
85267;31062
85267;31075
85267;31079
85267;31470
85268;49
85268;377
85268;1169
85268;1320
85268;3199
85268;6082
85268;7107
85268;11048
85268;13289
85268;15492
85268;17858
85268;22425
85268;27479
85268;27705
85268;27716
85268;27753
85268;29460
85269;11791
85270;5173
85270;7227
85270;9004
85270;11062
85270;14693
85270;14735
85270;26590
85270;27355
85270;28121
85270;29223
85270;29596
85270;29826
85270;29864
85270;29881
85270;29889
85270;29891
85270;29970
85271;1784
85271;6479
85271;9433
85271;11048
85271;11062
85271;13801
85271;14705
85271;17244
85271;17245
85271;20000
85271;23773
85271;25177
85271;26066
85271;27446
85271;27449
85271;27466
85271;27470
85271;27705
85271;28028
85271;28461
85271;29567
85272;10739
85272;13940
85272;17178
85272;29623
85272;30180
85273;3561
85273;11062
85273;12969
85273;13276
85273;27360
85273;27705
85274;1171
85274;4187
85274;9433
85274;11048
85274;11629
85274;14618
85274;15423
85274;16212
85274;20582
85274;22106
85274;22966
85274;23992
85274;25212
85274;26152
85274;27705
85274;28445
85275;13801
85275;22692
85275;27237
85275;27467
85275;28921
85275;29382
85276;8388
85276;13940
85276;14763
85276;29547
85276;29557
85276;29611
85277;11062
85277;20606
85277;22105
85277;22425
85277;26702
85277;27132
85277;28252
85277;28444
85277;29459
85277;31033
85279;4280
85279;4837
85279;6179
85279;6463
85279;16671
85279;25177
85279;27656
85279;27922
85279;30098
85280;3117
85280;6374
85280;6773
85280;9535
85280;13058
85280;13940
85280;24642
85281;269
85281;1015
85281;2679
85281;6066
85281;9311
85281;9913
85281;18064
85281;27099
85281;27178
85281;27938
85281;28927
85282;10113
85282;18228
85282;22741
85282;27472
85282;27503
85282;28653
85282;30069
85283;1069
85283;1172
85283;4200
85283;7497
85283;11062
85283;20266
85283;27248
85283;29367
85283;29912
85284;4187
85284;4200
85284;9535
85284;18959
85284;26550
85284;26679
85284;27479
85285;1169
85285;7515
85285;11141
85285;11493
85285;27656
85285;27705
85285;30104
85285;31667
85286;6010
85286;11163
85286;28342
85286;29459
85286;29626
85286;30316
85287;801
85287;8293
85287;8731
85287;9552
85287;10005
85287;12342
85287;14292
85287;20163
85287;24421
85287;28209
85287;29406
85287;29565
85288;269
85288;12203
85288;18025
85288;23348
85288;27099
85288;27474
85289;2521
85289;2825
85289;5491
85289;8275
85289;17654
85289;28367
85290;7540
85290;13014
85290;14890
85290;15429
85290;17159
85290;22538
85290;25884
85290;27691
85290;31238
85290;31766
85291;1172
85291;3561
85291;8296
85291;14859
85291;16422
85291;22425
85291;23853
85291;24964
85291;27922
85291;28978
85291;29724
85291;30019
85292;22675
85292;26407
85292;26497
85292;27474
85292;27678
85292;27942
85292;29565
85292;29623
85292;29727
85294;5121
85294;8293
85294;15100
85294;27445
85294;27472
85294;27705
85294;28030
85295;3214
85295;7225
85295;11063
85295;16764
85295;19871
85295;22104
85295;27479
85295;29914
85296;5491
85296;6067
85296;8003
85296;13600
85296;15688
85296;23773
85296;27922
85296;29667
85296;30104
85297;6472
85298;4280
85298;6374
85298;11018
85298;12929
85298;21648
85298;23004
85298;24725
85298;27476
85298;27922
85299;4740
85299;14693
85299;17178
85299;23095
85299;26650
85299;27942
85299;29791
85300;817
85300;1438
85300;3863
85300;7356
85300;7540
85300;10878
85300;10879
85300;13835
85300;16711
85300;17748
85300;18553
85300;18828
85300;22582
85300;24889
85300;27656
85301;3420
85301;4200
85301;9228
85301;9377
85301;20585
85301;20590
85301;27650
85302;6066
85302;6868
85302;15100
85302;19394
85302;24112
85302;27705
85302;29708
85302;31256
85303;178
85303;362
85303;6066
85303;12930
85303;13807
85303;15100
85303;20090
85303;20585
85303;20588
85303;22538
85303;25209
85303;27467
85303;27656
85303;30012
85303;30069
85303;30991
85303;31256
85304;5025
85304;9617
85304;13624
85304;14336
85304;21365
85304;24421
85304;27705
85304;27729
85304;27942
85304;28891
85304;29189
85304;29372
85304;29544
85304;29577
85304;29914
85305;362
85305;1320
85305;3850
85305;5491
85305;6066
85305;6773
85305;8137
85305;10231
85305;12342
85305;12639
85305;13189
85305;21573
85305;22105
85305;23889
85305;27470
85305;27656
85305;27705
85305;27844
85305;27845
85305;27921
85305;29420
85305;29596
85305;29704
85305;30561
85305;31442
85305;31537
85306;14560
85306;16990
85306;20582
85306;29541
85306;29669
85307;1320
85307;6066
85307;6460
85307;12061
85307;28027
85307;29567
85307;29578
85307;29911
85308;1171
85308;7439
85308;7497
85308;11063
85308;15100
85308;20266
85308;22538
85308;29407
85308;29623
85309;11266
85309;20372
85309;23937
85309;24975
85309;27190
85309;27474
85309;29045
85309;29755
85309;30069
85310;2696
85310;10776
85310;18437
85310;28379
85310;29538
85310;30191
85311;27406
85311;27933
85311;28243
85311;28334
85311;29667
85311;29882
85311;29939
85312;10408
85312;11062
85312;14672
85312;17695
85312;17873
85312;22106
85312;23837
85312;29553
85313;3420
85313;4113
85313;8293
85313;13443
85313;20775
85313;24720
85313;28365
85313;29949
85313;30119
85313;31287
85314;4258
85314;15100
85314;19661
85314;20025
85314;21891
85314;22538
85314;23946
85314;30112
85315;9427
85315;11018
85315;11048
85315;13137
85315;14828
85315;20212
85315;22424
85315;27087
85315;27474
85315;30688
85316;1169
85316;1172
85316;5173
85316;7497
85316;9208
85316;9210
85316;9214
85316;11048
85316;11062
85316;11487
85316;14763
85316;15100
85316;15177
85316;16495
85316;16990
85316;17056
85316;17178
85316;20266
85316;20585
85316;20587
85316;21640
85316;22538
85316;24141
85316;25169
85316;25193
85316;27248
85316;27451
85316;27476
85316;27656
85316;27691
85316;27705
85316;27716
85316;29588
85316;29592
85316;29615
85316;29708
85316;29863
85316;30104
85316;31238
85317;6958
85317;7260
85317;7674
85317;11988
85317;12092
85317;20326
85317;21736
85317;27372
85317;30853
85317;30898
85318;1171
85318;2702
85318;9433
85318;14763
85318;16346
85318;23773
85318;28027
85318;29914
85319;179
85319;9427
85319;16990
85319;17654
85319;20683
85319;27722
85319;27922
85319;29557
85319;29655
85320;5701
85320;6553
85320;6740
85320;7858
85320;8178
85320;10949
85320;14890
85320;17821
85320;27525
85321;8293
85321;14687
85321;16505
85321;16990
85321;24723
85322;2327
85322;2633
85322;2654
85322;14187
85322;23992
85322;24733
85322;25040
85322;27688
85323;5173
85323;6066
85323;6460
85323;8293
85323;10950
85323;11264
85323;11471
85323;17894
85323;27656
85323;28027
85323;29424
85323;29578
85323;30232
85324;9158
85324;9991
85324;11018
85324;27467
85324;27705
85324;29459
85325;5215
85325;8268
85325;15677
85325;16088
85325;24369
85325;26700
85325;29748
85325;31445
85326;686
85326;4187
85326;7033
85326;14618
85326;14663
85326;16579
85326;16990
85326;17178
85326;17971
85326;18303
85326;18304
85326;20768
85326;21585
85326;22210
85326;23292
85326;26702
85326;27478
85326;27656
85326;29263
85326;29557
85326;29607
85326;29704
85327;14359
85327;16277
85327;29372
85327;29537
85328;1320
85328;5173
85328;7540
85328;21190
85328;24793
85328;26670
85328;29548
85328;29594
85328;29862
85329;1069
85329;2702
85329;7789
85329;15688
85329;16374
85329;22692
85329;27465
85329;27705
85329;29630
85330;12342
85330;12747
85330;18111
85330;18437
85330;19556
85330;19952
85330;26489
85330;26540
85331;6374
85331;6930
85331;16495
85331;16520
85331;21369
85331;23861
85331;24421
85331;26503
85331;27133
85331;27479
85331;28359
85331;29608
85331;30012
85331;31108
85332;2664
85332;6626
85332;6877
85332;14301
85332;14588
85332;16354
85332;27694
85332;31442
85333;5538
85333;9427
85333;11018
85333;14837
85333;27474
85333;30688
85334;523
85334;1169
85334;6773
85334;7497
85334;8195
85334;13412
85334;14763
85334;15492
85334;16212
85334;23665
85334;23668
85334;29667
85334;29984
85335;2919
85335;4332
85335;5121
85335;9551
85335;10346
85335;11062
85335;11349
85335;14598
85335;18786
85335;19369
85335;20957
85335;22160
85335;22520
85335;24723
85335;25163
85335;29539
85335;29547
85335;29550
85335;29565
85335;31645
85336;179
85336;182
85336;1069
85336;1169
85336;2702
85336;3896
85336;5121
85336;6654
85336;8293
85336;11048
85336;11062
85336;13014
85336;14130
85336;14674
85336;14693
85336;15100
85336;16374
85336;16990
85336;20683
85336;22420
85336;22424
85336;22425
85336;23272
85336;27445
85336;27451
